Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TCV
939,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,59.2,17.0,5.0,10.0,1.0,1.0,1.16,1.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,62.1,17.0,5.0,10.0,0.0,1.0,1.27,1.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,52.8,17.0,5.0,10.0,1.0,1.0,1.16,1.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,12.0,0.0,1.0,1.42,1.0,4.0,2.0
183,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,75.2,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,2.0
1,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.38,2.0,4.0,2.0
2,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,1.0,2.02,2.0,4.0,2.0
3,2.0,1.0,0.0,5.0,20.5,5.0,57.53,17.5,5.0,9.0,0.0,1.0,1.04,2.0,4.0,2.0
2020,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,
0,2.0,5.0,1.0,3.0,20.6,4.6,52.4,16.2,5.0,11.0,1.0,0.0,1.57,1.0,1.0,2.0
1,2.0,5.0,1.0,3.0,20.6,4.6,52.4,16.7,5.0,13.0,1.0,0.0,1.57,1.0,1.0,2.0
2,2.0,5.0,1.0,3.0,20.6,4.6,54.6,14.9,5.0,11.0,1.0,0.0,2.01,1.0,1.0,2.0
3,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,5.0,11.0,1.0,0.0,1.15,1.0,1.0,2.0
260,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,49.0,15.7,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
1,3.0,1.0,0.0,3.0,22.2,5.2,60.4,15.2,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
2,3.0,1.0,0.0,3.0,22.2,5.2,60.4,16.2,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
3,3.0,1.0,0.0,3.0,22.2,5.2,72.5,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
1266,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,8.0,0.0,1.0,1.66,2.0,4.0,2.0
1,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,8.0,1.0,1.0,1.51,2.0,4.0,2.0
2,4.0,3.0,1.0,1.0,17.6,8.4,67.2,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
3,4.0,3.0,1.0,1.0,17.6,8.4,49.8,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
38,1.0,1.0,0.0,4.0,22.2,5.1,44.23,17.5,4.0,8.0,0.0,0.0,1.26,2.0,4.0,
0,1.0,1.0,0.0,4.0,22.2,5.1,71.2,17.5,4.0,8.0,0.0,0.0,1.62,2.0,4.0,2.0
1,1.0,1.0,0.0,4.0,22.2,5.1,44.23,17.5,4.0,8.0,0.0,0.0,1.8,2.0,4.0,2.0
2,1.0,1.0,0.0,4.0,22.2,5.1,44.23,13.3,4.0,8.0,0.0,0.0,1.36,2.0,4.0,2.0
3,1.0,1.0,0.0,4.0,22.2,5.1,44.23,13.5,4.0,8.0,0.0,1.0,1.26,2.0,4.0,2.0
795,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,
0,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,1.5,2.0,2.0,2.0
1,4.0,2.0,1.0,1.0,24.2,6.0,73.5,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,2.0
2,4.0,2.0,1.0,1.0,24.2,6.0,60.3,13.5,3.0,10.0,1.0,0.0,0.9,2.0,2.0,2.0
3,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,1.92,2.0,2.0,2.0
492,5.0,1.0,0.0,2.0,24.2,6.0,58.9,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,
0,5.0,1.0,0.0,2.0,24.2,6.0,49.7,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
1,5.0,1.0,0.0,2.0,24.2,6.0,53.8,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
2,5.0,1.0,0.0,2.0,24.2,6.0,73.5,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
3,5.0,1.0,0.0,2.0,24.2,6.0,58.9,15.6,4.0,8.0,0.0,0.0,1.43,2.0,4.0,2.0
1582,3.0,4.0,1.0,1.0,20.0,8.8,60.5,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,
0,3.0,4.0,1.0,1.0,20.0,8.8,46.7,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
1,3.0,4.0,1.0,1.0,20.0,8.8,69.9,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
2,3.0,4.0,1.0,1.0,20.0,8.8,64.8,13.6,3.0,9.0,0.0,0.0,1.5,2.0,4.0,2.0
3,3.0,4.0,1.0,1.0,20.0,8.8,60.5,13.6,3.0,6.0,0.0,1.0,1.51,2.0,4.0,2.0
899,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,2.0,22.4,10.1,54.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
1,1.0,3.0,1.0,2.0,22.4,10.1,48.6,16.2,4.0,10.0,0.0,1.0,1.69,2.0,4.0,2.0
2,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,13.0,1.0,1.0,1.39,2.0,4.0,2.0
3,1.0,3.0,1.0,2.0,22.4,10.1,52.3,17.0,4.0,10.0,1.0,1.0,1.15,2.0,4.0,2.0
972,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,72.7,17.0,5.0,11.0,1.0,1.0,1.62,2.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,46.3,14.7,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,46.3,15.6,5.0,11.0,0.0,1.0,1.69,2.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,53.0,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
1376,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,
0,4.0,3.0,1.0,2.0,17.6,8.4,71.4,13.4,5.0,10.0,1.0,1.0,1.42,2.0,4.0,2.0
1,4.0,3.0,1.0,2.0,17.6,8.4,55.4,13.4,5.0,10.0,0.0,1.0,1.38,2.0,4.0,2.0
2,4.0,3.0,1.0,2.0,17.6,8.4,71.8,13.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,2.0
